disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5074,,,,,3469119.78,56661.62,,2023-10-09T00:00:00.000Z,,0,b81bc48bdb18e69c1c436a851ec173332155ab50,2023-10-09T04:03:28.911Z,dee27a76-fcff-48ea-8b9a-464777171453
5075,,,,,2566096.58,21351.24,,2023-10-09T00:00:00.000Z,,0,102a33ab20288b629312fcedacf991b631ff3224,2023-10-09T04:03:28.911Z,f863fe08-2896-4a96-a335-09b9db6b0c7b
5076,,,,,1960049.13,5236.13,,2023-10-09T00:00:00.000Z,,0,cbd825d2e1f0708b6fe3b18cccf68a4f2129f829,2023-10-09T04:03:28.911Z,b7f76636-d0e4-4915-9b10-23076ff47609
5077,,,,,3340243.4,23089.55,,2023-10-09T00:00:00.000Z,,0,2b29e4ab51f2e30971a1cd61227a9a3e3c504186,2023-10-09T04:03:28.911Z,9ca3c0fd-a180-4fb9-ab3f-73726a3d99cc
5078,,,,,3440106.91,72265.71,,2023-10-09T00:00:00.000Z,,0,e270cccb048865b816ae0c1af5f61711ff45a75a,2023-10-09T04:03:28.911Z,14363e59-7044-422c-9e2b-71cf9f36e71d
5079,,,,,5294854.84,165881.8,,2023-10-09T00:00:00.000Z,,0,26e2f3abb9e95770f71e156534bfce8fb1adcddd,2023-10-09T04:03:28.911Z,173ee590-c3b5-4c07-bbf6-a08114f51434
5080,,,,,1334447.91,22126.56,,2023-10-09T00:00:00.000Z,,0,cf940cc19ef82adfa812d908777a36f878a8cafa,2023-10-09T04:03:28.911Z,0e07c9b7-c611-4e95-81dc-56339863a2fa
5081,,,,,17367834.02,1019554.95,,2023-10-09T00:00:00.000Z,,0,bed561d254f5ef4ff3d3b01971e0ee6028c3eead,2023-10-09T04:03:28.911Z,d1cf855d-a76a-433f-aa51-ea244c50a883
5082,,,,,4199626.72,166051.7,,2023-10-09T00:00:00.000Z,,0,d82904e507f441d0d9f33de7df23a1423abd862e,2023-10-09T04:03:28.911Z,3c94f204-ab0b-480b-857b-a9e30a155925
5083,,,,,1125000.01,,,2023-10-09T00:00:00.000Z,,0,cb819c64e6a5382303c3d4dadeb98854a5d69b64,2023-10-09T04:03:28.911Z,49fd475e-fbda-4c1e-80e8-5e2a978c823f
5084,,,,,6212010.79,42889.71,,2023-10-09T00:00:00.000Z,,0,0db797fa476d3f6691071751d996687e1e6dfcdf,2023-10-09T04:03:28.911Z,dc43b05f-519b-46b9-8e1d-cf5c9eea4281
5085,,,,,521457.25,7021.23,,2023-10-09T00:00:00.000Z,,0,04db20d5d4c0ca3c179de380de3ad523894d2b7f,2023-10-09T04:03:28.911Z,efbba50a-9563-47cb-9527-e5d9bb98d220
5086,,,,,912000.51,20640.11,,2023-10-09T00:00:00.000Z,,144710.56,fd7345dec514d4cca0c5945cf603a75734189e87,2023-10-09T04:03:28.911Z,43ed6ef9-43aa-49eb-8da9-00ce7209aa88
5087,,,,,57903.97,53041.98,,2023-10-09T00:00:00.000Z,,351548.09,1308c3c9916ca255d76ae72d68a594973d11cabb,2023-10-09T04:03:28.911Z,26f6b6b3-291c-48db-af4e-8fbd82fff62c
5088,,,,,2135746.75,41091.87,,2023-10-09T00:00:00.000Z,,18415.07,c54a6237456cccb5a05744c96a509408b3694dca,2023-10-09T04:03:28.911Z,044391d2-fa2b-4364-9ad7-e6899db20a83
5089,,,,,855804.91,95620.59,,2023-10-09T00:00:00.000Z,,105977.93,9381267c9411284c01f507261ab0ae0dfc863e4a,2023-10-09T04:03:28.911Z,b59281c7-7854-45a4-aeb1-52af957c8685
5090,,,,,14892.38,14892.38,,2023-10-09T00:00:00.000Z,,35216.25,25f5e1a19dc1390262103f9f49c6f0490c49171f,2023-10-09T04:03:28.911Z,eae495c5-06a9-4d4c-b0d5-e6369e532afc
5091,,,,,13868793.44,101172.22,,2023-10-09T00:00:00.000Z,,312579.84,4f48c66d71f52016b91902cf92a9e8373ce4df1d,2023-10-09T04:03:28.911Z,89ccf927-aa93-48b1-bcc7-fe9a9e69ec6a
